cod_cliente_ficticio,tipo_pessoa,produto,qtd_cotas_total,qtd_cotas_contempladas,qtd_cotas_nao_contempladas,vl_saldo_devedor_total,tempo_relacionamento_anos,nm_uf,vl_renda_mensal,dt_ultima_compra,tempo_medio_permanencia_meses,situacao_adimplencia,teve_cotas_canceladas,faixa_renda,recencia_dias,faixa_recencia,inadimplente_flag,cancelamento_flag,tem_veiculos_row,tem_imoveis_row,recencia_meses,elegivel,score_capacidade_veiculos,score_capacidade_imoveis,score_recencia,score_engajamento,score_relacionamento,score_afinidade_veiculos,score_afinidade_imoveis,score_veiculos,score_imoveis,produto_recomendado,score_conquiste,segmento_conquiste,score_produto_atual,segmento_produto_atual
CLI015946,JURÍDICA,IMÓVEIS,3,3,0,0.0,10,MATO GROSSO,6000.0,2016-02-29,33,ADIMPLENTE,NÃO,5 a 10 mil,3854,Mais de 5 anos,False,False,False,True,126.6,False,10,5,0,15,15,10,15,50,50,Não ofertar,50,Não prioritário,50.0,Não prioritário
CLI015947,FISICA,IMÓVEIS,1,0,1,762092.94,2,ESPIRITO SANTO,9000.0,2024-08-13,193,ADIMPLENTE,NÃO,5 a 10 mil,766,2 a 5 anos,False,False,False,True,25.2,False,10,5,0,5,8,10,15,33,33,Não ofertar,33,Não prioritário,33.0,Não prioritário
CLI015948,FISICA,IMÓVEIS,1,0,1,523898.3,0,RIO GRANDE DO SUL,8000.0,2026-05-21,170,ADIMPLENTE,NÃO,5 a 10 mil,120,3 a 6 meses,False,False,False,True,3.9,True,10,5,20,5,5,10,15,50,50,AMBOS,50,Nutrição,50.0,Nutrição
CLI015949,FISICA,IMÓVEIS,1,0,1,386206.98,0,RIO GRANDE DO SUL,8000.0,2026-05-21,179,ADIMPLENTE,NÃO,5 a 10 mil,120,3 a 6 meses,False,False,False,True,3.9,True,10,5,20,5,5,10,15,50,50,AMBOS,50,Nutrição,50.0,Nutrição
CLI015950,FISICA,IMÓVEIS,1,0,1,258061.05,0,RIO GRANDE DO SUL,20000.0,2026-02-24,60,ADIMPLENTE,NÃO,10 a 20 mil,206,6 a 12 meses,False,False,False,True,6.8,True,30,20,15,5,5,10,15,65,60,VEÍCULOS,65,Potencial,60.0,Nutrição
CLI015951,FISICA,VEÍCULOS,1,0,1,41704.62,0,PARANA,5000.0,2026-07-15,49,ADIMPLENTE,NÃO,Até 5 mil,65,Até 3 meses,False,False,True,False,2.1,True,10,5,20,5,5,15,10,55,45,VEÍCULOS,55,Nutrição,55.0,Nutrição
CLI015952,FISICA,IMÓVEIS,3,0,3,467185.23,1,SAO PAULO,24240.0,2025-04-22,184,INADIMPLENTE,NÃO,20 a 30 mil,514,1 a 2 anos,True,False,False,True,16.9,False,30,20,10,15,8,10,15,73,68,Não ofertar,73,Não prioritário,68.0,Não prioritário
CLI015953,FISICA,IMÓVEIS,1,0,1,161140.16,0,SANTA CATARINA,6000.0,2026-08-14,184,ADIMPLENTE,NÃO,5 a 10 mil,35,Até 3 meses,False,False,False,True,1.1,True,10,5,20,5,5,10,15,50,50,AMBOS,50,Nutrição,50.0,Nutrição
CLI015954,JURÍDICA,VEÍCULOS,3,0,3,429397.6,0,RIO GRANDE DO SUL,275737.05,2025-10-16,79,ADIMPLENTE,NÃO,100 a 500 mil,337,6 a 12 meses,False,False,True,False,11.1,True,30,30,15,15,5,15,10,80,75,VEÍCULOS,80,Alta prioridade,80.0,Alta prioridade
CLI015955,FISICA,IMÓVEIS,2,0,2,752703.34,1,RIO GRANDE DO SUL,50000.0,2025-08-22,206,ADIMPLENTE,NÃO,30 a 50 mil,392,1 a 2 anos,False,False,False,True,12.9,True,30,30,10,10,8,10,15,68,73,IMÓVEIS,73,Potencial,73.0,Potencial
